Date,QUIC Canadian Fund Return,S&P/TSX Composite Total Return Index,QUIC Canadian Fund Return,S&P/TSX Composite Total Return Index
07-13-2020,87.72,56458.42,0.12%,-0.47%
07-14-2020,88.81,57431.68,1.24%,1.72%
07-15-2020,90.91,57990.82,2.37%,0.97%
07-16-2020,91.03,57850.63,0.13%,-0.24%
07-17-2020,91.44,58207.96,0.45%,0.62%
07-20-2020,91.04,58425.23,-0.43%,0.37%
07-21-2020,91.82,58352.22,0.85%,-0.12%
07-22-2020,91.70,58381.56,-0.13%,0.05%
07-23-2020,91.12,57834.57,-0.63%,-0.94%
07-24-2020,91.16,57796.75,0.04%,-0.07%
07-27-2020,91.27,58390.59,0.13%,1.03%
07-28-2020,91.45,58246.01,0.19%,-0.25%
07-29-2020,92.29,58872.36,0.92%,1.08%
07-30-2020,91.93,58901.95,-0.40%,0.05%
07-31-2020,91.71,58450.99,-0.23%,-0.77%
08-04-2020,93.72,59169.74,2.19%,1.23%
08-05-2020,94.33,59653.98,0.65%,0.82%
08-06-2020,94.98,59934.08,0.68%,0.47%
08-07-2020,95.99,59808.93,1.07%,-0.21%
08-10-2020,96.93,60029.54,0.97%,0.37%
08-11-2020,96.84,59637.32,-0.09%,-0.65%
08-12-2020,97.20,59920.27,0.37%,0.47%
08-13-2020,96.69,59800.82,-0.52%,-0.20%
08-14-2020,96.63,59759.45,-0.06%,-0.07%
08-17-2020,96.99,60272.06,0.37%,0.86%
08-18-2020,96.71,60169.32,-0.29%,-0.17%
08-19-2020,97.02,59996.31,0.32%,-0.29%
08-20-2020,97.25,60110.98,0.24%,0.19%
08-21-2020,96.96,59790.08,-0.29%,-0.53%
08-24-2020,98.20,60187.26,1.28%,0.66%
08-25-2020,98.27,60163.23,0.07%,-0.04%
08-26-2020,98.47,60789.86,0.21%,1.04%
08-27-2020,98.41,60578.33,-0.06%,-0.35%
08-28-2020,98.18,60515.84,-0.23%,-0.10%
08-31-2020,96.58,59823.68,-1.63%,-1.14%
09-01-2020,96.94,60301.11,0.37%,0.80%
09-02-2020,97.96,60493.86,1.05%,0.32%
09-03-2020,96.78,59603.69,-1.21%,-1.47%
09-04-2020,96.21,58767.75,-0.59%,-1.40%
09-08-2020,95.58,58355.47,-0.65%,-0.70%
09-09-2020,96.64,59397.09,1.10%,1.78%
09-10-2020,95.73,58679.81,-0.94%,-1.21%
09-11-2020,96.09,58814.46,0.37%,0.23%
09-14-2020,97.06,59342.15,1.01%,0.90%
09-15-2020,98.14,59601.24,1.11%,0.44%
09-16-2020,98.25,59109.33,0.12%,-0.83%
09-17-2020,98.28,58950.80,0.03%,-0.27%
09-18-2020,97.76,58777.61,-0.53%,-0.29%
09-21-2020,95.84,57994.41,-1.97%,-1.33%
09-22-2020,96.53,58579.09,0.72%,1.01%
09-23-2020,95.02,57396.91,-1.56%,-2.02%
09-24-2020,95.39,57749.05,0.38%,0.61%
09-25-2020,96.23,58327.51,0.88%,1.00%
09-28-2020,97.46,58971.79,1.28%,1.10%
09-29-2020,96.75,58917.46,-0.74%,-0.09%
09-30-2020,96.90,58590.32,0.16%,-0.56%
10-01-2020,97.24,58820.27,0.35%,0.39%
10-02-2020,97.47,58873.73,0.24%,0.09%
10-05-2020,98.65,59668.47,1.20%,1.35%
10-06-2020,98.15,59035.58,-0.51%,-1.06%
10-07-2020,99.53,59735.63,1.41%,1.19%
10-08-2020,100.58,60159.19,1.05%,0.71%
10-09-2020,100.27,60262.02,-0.31%,0.17%
10-13-2020,100.49,60072.90,0.22%,-0.31%
10-14-2020,100.35,59873.20,-0.14%,-0.33%
10-15-2020,101.29,60039.21,0.94%,0.28%
10-16-2020,100.96,59812.63,-0.32%,-0.38%
10-19-2020,100.28,59213.43,-0.68%,-1.00%
10-20-2020,100.66,59210.48,0.38%,0.00%
10-21-2020,100.77,59056.17,0.11%,-0.26%
10-22-2020,101.86,59239.38,1.08%,0.31%
10-23-2020,101.98,59369.55,0.12%,0.22%
10-26-2020,100.15,58551.94,-1.79%,-1.38%
10-27-2020,99.84,58338.53,-0.31%,-0.36%
10-28-2020,97.45,56756.80,-2.39%,-2.71%
10-29-2020,98.28,57072.05,0.85%,0.56%
10-30-2020,97.96,56765.68,-0.33%,-0.54%
11-02-2020,98.81,57189.17,0.87%,0.75%
11-03-2020,99.75,58071.84,0.95%,1.54%
11-04-2020,99.90,58290.30,0.16%,0.38%
11-05-2020,101.03,59381.26,1.13%,1.87%
11-06-2020,101.18,59325.39,0.15%,-0.09%
11-09-2020,105.39,60030.82,4.16%,1.19%
11-10-2020,106.20,60539.15,0.78%,0.85%
11-11-2020,107.13,61117.63,0.88%,0.96%
11-12-2020,105.07,60462.09,-1.92%,-1.07%
11-13-2020,105.65,60804.05,0.55%,0.57%
11-16-2020,107.08,61584.95,1.36%,1.28%
11-17-2020,107.55,61803.41,0.44%,0.35%
11-18-2020,107.44,61594.07,-0.10%,-0.34%
11-19-2020,106.99,61674.94,-0.41%,0.13%
11-20-2020,107.72,62089.59,0.68%,0.67%
11-23-2020,109.02,62365.11,1.21%,0.44%
11-24-2020,111.12,63040.13,1.93%,1.08%
11-25-2020,111.12,63181.82,0.00%,0.22%
11-26-2020,111.67,63321.47,0.49%,0.22%
11-27-2020,111.47,63516.37,-0.18%,0.31%
11-30-2020,109.72,62764.58,-1.57%,-1.18%
12-01-2020,109.30,63154.08,-0.38%,0.62%
12-02-2020,109.20,63394.87,-0.09%,0.38%
12-03-2020,109.40,63542.74,0.19%,0.23%
12-04-2020,110.31,63992.37,0.83%,0.71%
12-07-2020,110.26,64217.94,-0.05%,0.35%
12-08-2020,110.43,64451.09,0.15%,0.36%
12-09-2020,109.83,64166.47,-0.54%,-0.44%
12-10-2020,110.33,64299.10,0.45%,0.21%
12-11-2020,109.71,64136.75,-0.56%,-0.25%
12-14-2020,108.80,63575.76,-0.83%,-0.87%
12-15-2020,109.38,64011.49,0.53%,0.69%
12-16-2020,108.89,64235.04,-0.44%,0.35%
12-17-2020,109.30,64548.41,0.38%,0.49%
12-18-2020,109.02,64121.12,-0.26%,-0.66%
12-21-2020,108.64,63999.90,-0.35%,-0.19%
12-22-2020,108.49,64189.57,-0.13%,0.30%
12-23-2020,109.08,64346.30,0.54%,0.24%
12-24-2020,109.26,64474.87,0.17%,0.20%
12-29-2020,108.72,64180.57,-0.50%,-0.46%
12-30-2020,109.45,64257.50,0.67%,0.12%
12-31-2020,108.93,63846.13,-0.47%,-0.64%
01-04-2021,109.49,64220.49,0.51%,0.59%
01-05-2021,111.14,64787.44,1.50%,0.88%
01-06-2021,112.26,65320.93,1.01%,0.82%
01-07-2021,112.83,66089.37,0.51%,1.18%
01-08-2021,112.74,66142.52,-0.08%,0.08%
01-11-2021,112.15,65748.01,-0.52%,-0.60%
01-12-2021,112.21,65936.24,0.05%,0.29%
01-13-2021,111.85,65749.06,-0.32%,-0.28%
01-14-2021,111.73,65836.64,-0.11%,0.13%
01-15-2021,111.42,65656.77,-0.28%,-0.27%
01-18-2021,111.55,65788.24,0.12%,0.20%
01-19-2021,112.05,65834.03,0.45%,0.07%
01-20-2021,111.61,66053.82,-0.40%,0.33%
01-21-2021,111.35,65695.57,-0.23%,-0.54%
01-22-2021,111.32,65441.43,-0.03%,-0.39%
01-25-2021,111.24,65701.61,-0.08%,0.40%
01-26-2021,110.27,65237.05,-0.87%,-0.71%
01-27-2021,108.47,63934.93,-1.63%,-2.00%
01-28-2021,109.47,64797.54,0.93%,1.35%
01-29-2021,107.59,63640.32,-1.72%,-1.79%
02-01-2021,109.10,64949.17,1.40%,2.06%
02-02-2021,109.97,65617.44,0.80%,1.03%
02-03-2021,110.11,65770.94,0.13%,0.23%
02-04-2021,111.25,66233.73,1.03%,0.70%
02-05-2021,111.55,66578.54,0.28%,0.52%
02-08-2021,112.49,67292.07,0.84%,1.07%
02-09-2021,112.22,67579.73,-0.24%,0.43%
02-10-2021,111.96,67761.80,-0.23%,0.27%
02-11-2021,111.53,67570.10,-0.39%,-0.28%
02-12-2021,112.74,67823.64,1.09%,0.38%
02-16-2021,112.46,67943.07,-0.25%,0.18%
02-17-2021,111.92,67509.93,-0.48%,-0.64%
02-18-2021,112.04,67140.34,0.11%,-0.55%
02-19-2021,111.36,67545.63,-0.61%,0.60%
02-22-2021,110.97,67680.35,-0.36%,0.20%
02-23-2021,111.37,67361.92,0.36%,-0.47%
02-24-2021,112.30,67933.95,0.84%,0.85%
02-25-2021,111.01,67000.80,-1.15%,-1.37%
02-26-2021,110.31,66418.02,-0.63%,-0.87%
03-01-2021,112.06,67299.54,1.59%,1.33%
03-02-2021,112.02,67754.21,-0.04%,0.68%
03-03-2021,112.66,67392.14,0.57%,-0.53%
03-04-2021,112.37,66683.33,-0.26%,-1.05%
03-05-2021,113.81,67624.22,1.28%,1.41%
03-08-2021,114.28,67907.57,0.41%,0.42%
03-09-2021,114.62,68443.84,0.30%,0.79%
03-10-2021,115.62,68790.70,0.88%,0.51%
03-11-2021,116.33,69361.16,0.61%,0.83%
03-12-2021,116.08,69415.16,-0.21%,0.08%
03-15-2021,116.06,69797.99,-0.02%,0.55%
03-16-2021,115.33,69503.90,-0.63%,-0.42%
03-17-2021,116.28,69907.07,0.82%,0.58%
03-18-2021,115.06,69381.58,-1.05%,-0.75%
03-19-2021,115.61,69448.65,0.48%,0.10%
03-22-2021,115.53,69311.47,-0.07%,-0.20%
03-23-2021,114.16,68776.09,-1.18%,-0.77%
03-24-2021,114.78,68626.76,0.54%,-0.22%
03-25-2021,114.88,68718.99,0.09%,0.13%
03-26-2021,115.74,69115.86,0.74%,0.58%
03-29-2021,115.62,68992.93,-0.11%,-0.18%
03-30-2021,115.56,69004.77,-0.05%,0.02%
03-31-2021,115.02,68987.39,-0.47%,-0.03%
04-01-2021,116.41,70056.34,1.21%,1.55%
04-05-2021,116.90,70218.99,0.42%,0.23%
04-06-2021,117.25,70504.46,0.30%,0.41%
04-07-2021,116.93,70596.47,-0.27%,0.13%
04-08-2021,117.52,71002.00,0.50%,0.57%
04-09-2021,117.46,70998.92,-0.05%,0.00%
04-12-2021,117.47,70900.14,0.01%,-0.14%
04-13-2021,117.18,70909.09,-0.25%,0.01%
04-14-2021,117.35,70792.79,0.15%,-0.16%
04-15-2021,117.83,71348.45,0.41%,0.78%
04-16-2021,117.98,71457.05,0.13%,0.15%
04-19-2021,117.83,70914.59,-0.13%,-0.76%
04-20-2021,116.63,70310.76,-1.02%,-0.85%
04-21-2021,116.84,70730.66,0.18%,0.60%
04-22-2021,116.67,70321.24,-0.14%,-0.58%
04-23-2021,117.16,70583.04,0.42%,0.37%
04-26-2021,117.98,70835.51,0.70%,0.36%
04-27-2021,117.77,70852.24,-0.18%,0.02%
04-28-2021,118.36,71524.25,0.50%,0.95%
04-29-2021,118.22,71159.58,-0.12%,-0.51%
04-30-2021,117.63,70636.01,-0.49%,-0.74%
05-03-2021,118.57,71023.51,0.79%,0.55%
05-04-2021,118.58,70930.63,0.01%,-0.13%
05-05-2021,119.98,71385.60,1.18%,0.64%
05-06-2021,119.82,71312.52,-0.13%,-0.10%
05-07-2021,121.05,71984.44,1.02%,0.94%
05-10-2021,121.23,71574.63,0.15%,-0.57%
05-11-2021,120.09,71251.61,-0.94%,-0.45%
05-12-2021,118.81,70636.95,-1.06%,-0.86%
05-13-2021,118.62,70785.54,-0.17%,0.21%
05-14-2021,120.07,71646.39,1.23%,1.22%
05-17-2021,120.99,72059.77,0.77%,0.58%
05-18-2021,120.87,72179.83,-0.10%,0.17%
05-19-2021,119.52,71850.47,-1.12%,-0.46%
05-20-2021,119.75,72324.42,0.19%,0.66%
05-21-2021,120.00,72271.46,0.21%,-0.07%
05-25-2021,120.07,72417.21,0.06%,0.20%
05-26-2021,121.45,73091.17,1.14%,0.93%
05-27-2021,122.04,73214.16,0.49%,0.17%
05-28-2021,122.69,73513.75,0.53%,0.41%
05-31-2021,122.90,73068.22,0.17%,-0.61%
06-01-2021,124.60,73978.64,1.38%,1.25%
06-02-2021,124.56,73964.19,-0.03%,-0.02%
06-03-2021,124.85,73865.33,0.24%,-0.13%
06-04-2021,125.84,74190.53,0.79%,0.44%
06-07-2021,125.26,74213.52,-0.46%,0.03%
06-08-2021,125.49,74341.10,0.19%,0.17%
06-09-2021,125.13,74123.24,-0.29%,-0.29%
06-10-2021,125.39,74298.20,0.21%,0.24%
06-11-2021,126.31,74627.55,0.73%,0.44%
06-14-2021,126.19,74729.25,-0.10%,0.14%
06-15-2021,126.25,75004.93,0.05%,0.37%
06-16-2021,125.42,75003.59,-0.66%,0.00%
06-17-2021,123.12,74696.56,-1.84%,-0.41%
06-18-2021,122.67,74161.44,-0.36%,-0.72%
06-21-2021,123.96,74746.38,1.05%,0.79%
06-22-2021,124.37,74915.84,0.33%,0.23%
06-23-2021,124.28,74781.36,-0.07%,-0.18%
06-24-2021,124.06,74976.83,-0.18%,0.26%
06-25-2021,124.59,75056.05,0.43%,0.11%
06-28-2021,123.87,74740.66,-0.58%,-0.42%
06-29-2021,124.67,74901.10,0.64%,0.21%
06-30-2021,125.66,74881.47,0.80%,-0.03%
07-02-2021,126.17,75106.26,0.40%,0.30%
07-05-2021,126.94,75340.39,0.61%,0.31%
07-06-2021,126.54,75409.40,-0.31%,0.09%
07-07-2021,127.30,75376.21,0.60%,-0.04%
07-08-2021,127.04,74561.79,-0.20%,-1.08%
07-09-2021,127.93,75293.02,0.70%,0.98%
07-12-2021,127.77,75200.60,-0.12%,-0.12%
07-13-2021,127.48,75340.24,-0.23%,0.19%
07-14-2021,126.77,74883.58,-0.56%,-0.61%
07-15-2021,126.90,75019.18,0.10%,0.18%
07-16-2021,126.05,74282.62,-0.66%,-0.98%
07-19-2021,123.72,73319.62,-1.85%,-1.30%
07-20-2021,125.27,74123.43,1.26%,1.10%
07-21-2021,126.54,74747.68,1.01%,0.84%
07-22-2021,126.33,74704.08,-0.17%,-0.06%
07-23-2021,126.02,75082.36,-0.25%,0.51%
07-26-2021,126.27,74995.08,0.20%,-0.12%
07-27-2021,126.10,75026.65,-0.13%,0.04%
07-28-2021,126.19,75238.82,0.07%,0.28%
07-29-2021,127.26,75550.26,0.85%,0.41%
07-30-2021,127.25,75483.00,-0.01%,-0.09%
08-03-2021,127.16,75773.42,-0.07%,0.38%
08-04-2021,127.41,75640.39,0.19%,-0.18%
08-05-2021,127.36,75810.60,-0.04%,0.23%
08-06-2021,128.12,76182.44,0.60%,0.49%
08-09-2021,127.68,76041.06,-0.35%,-0.19%
08-10-2021,128.83,76258.05,0.90%,0.29%
08-11-2021,129.50,76474.83,0.51%,0.28%
08-12-2021,128.94,76395.83,-0.43%,-0.10%
08-13-2021,128.20,76386.96,-0.57%,-0.01%
08-16-2021,127.43,76272.24,-0.60%,-0.15%
08-17-2021,126.29,75828.04,-0.89%,-0.58%
08-18-2021,126.13,75609.98,-0.13%,-0.29%
08-19-2021,125.73,75295.01,-0.32%,-0.42%
08-20-2021,126.64,75757.38,0.73%,0.61%
08-23-2021,127.68,76272.75,0.82%,0.68%
08-24-2021,128.14,76549.24,0.35%,0.36%
08-25-2021,127.99,76698.30,-0.11%,0.19%
08-26-2021,127.91,76390.82,-0.06%,-0.40%
08-27-2021,129.36,76914.33,1.13%,0.69%
08-30-2021,129.62,76755.41,0.20%,-0.21%
08-31-2021,130.44,76715.55,0.63%,-0.05%
09-01-2021,131.22,77116.94,0.60%,0.52%
09-02-2021,131.90,77523.61,0.52%,0.53%
09-03-2021,132.04,77622.80,0.11%,0.13%
09-07-2021,131.83,77582.18,-0.16%,-0.05%
09-08-2021,132.22,77347.47,0.29%,-0.30%
09-09-2021,132.17,77222.37,-0.03%,-0.16%
09-10-2021,132.65,76953.08,0.37%,-0.35%
09-13-2021,133.03,77077.44,0.28%,0.16%
09-14-2021,132.35,76686.63,-0.51%,-0.51%
09-15-2021,133.61,77214.58,0.95%,0.69%
09-16-2021,133.53,76887.64,-0.06%,-0.42%
09-17-2021,132.96,76470.72,-0.43%,-0.54%
09-20-2021,130.28,75223.28,-2.01%,-1.63%
09-21-2021,131.44,75560.99,0.89%,0.45%
09-22-2021,133.22,76148.37,1.35%,0.78%
09-23-2021,129.54,76380.73,-2.76%,0.31%
09-24-2021,132.31,76166.29,2.14%,-0.28%
09-27-2021,132.63,76410.11,0.24%,0.32%
09-28-2021,131.04,75396.80,-1.20%,-1.33%
09-29-2021,131.10,75337.50,0.05%,-0.08%
09-30-2021,130.73,75008.99,-0.29%,-0.44%
10-01-2021,130.34,75310.73,-0.29%,0.40%
10-04-2021,131.48,74970.54,0.87%,-0.45%
10-05-2021,131.24,75460.96,-0.19%,0.65%
10-06-2021,129.91,75491.78,-1.01%,0.04%
10-07-2021,130.77,76369.21,0.66%,1.16%
10-08-2021,130.71,76369.61,-0.04%,0.00%
10-12-2021,132.22,76447.43,1.15%,0.10%
10-13-2021,133.14,77125.79,0.70%,0.89%
10-14-2021,134.79,77881.44,1.24%,0.98%
10-15-2021,134.60,78286.07,-0.14%,0.52%
10-18-2021,133.99,78500.30,-0.45%,0.27%
10-19-2021,134.33,78880.46,0.25%,0.48%
10-20-2021,134.43,79259.10,0.08%,0.48%
10-21-2021,134.76,79352.98,0.24%,0.12%
10-22-2021,135.22,79370.63,0.34%,0.02%
10-25-2021,134.90,79667.61,-0.24%,0.37%
10-26-2021,134.70,79250.66,-0.15%,-0.52%
10-27-2021,133.02,78432.97,-1.25%,-1.03%
10-28-2021,134.77,79349.50,1.32%,1.17%
10-29-2021,134.08,78771.10,-0.51%,-0.73%
11-01-2021,134.90,79557.30,0.61%,1.00%
11-02-2021,133.84,79268.96,-0.78%,-0.36%
11-03-2021,134.49,79626.38,0.48%,0.45%
11-04-2021,134.77,79914.79,0.21%,0.36%
11-05-2021,137.12,80340.53,1.75%,0.53%
11-08-2021,138.29,80719.59,0.85%,0.47%
11-09-2021,138.17,80861.82,-0.08%,0.18%
11-10-2021,137.26,80365.42,-0.67%,-0.61%
11-11-2021,138.28,80814.96,0.75%,0.56%
11-12-2021,139.11,81559.34,0.60%,0.92%
11-15-2021,138.52,81239.38,-0.42%,-0.39%
11-16-2021,138.69,81373.66,0.12%,0.17%
11-17-2021,135.95,81135.55,-1.97%,-0.29%
11-18-2021,134.76,81085.02,-0.88%,-0.06%
11-19-2021,134.66,80780.31,-0.07%,-0.38%
11-22-2021,134.43,80277.90,-0.17%,-0.62%
11-23-2021,135.02,80417.83,0.44%,0.17%
11-24-2021,135.16,80774.59,0.10%,0.44%
11-25-2021,135.74,81018.60,0.43%,0.30%
11-26-2021,133.15,79192.02,-1.90%,-2.25%
11-29-2021,133.03,79305.90,-0.09%,0.14%
11-30-2021,130.19,77493.75,-2.14%,-2.29%
12-01-2021,129.03,76764.06,-0.89%,-0.94%
12-02-2021,129.71,77904.57,0.52%,1.49%
12-03-2021,129.10,77421.44,-0.47%,-0.62%
12-06-2021,129.60,78277.77,0.38%,1.11%
12-07-2021,133.47,79413.90,2.99%,1.45%
12-08-2021,131.91,79105.47,-1.16%,-0.39%
12-09-2021,129.74,78569.86,-1.64%,-0.68%
12-10-2021,130.06,78438.94,0.24%,-0.17%
12-13-2021,128.62,77905.11,-1.11%,-0.68%
12-14-2021,127.52,77564.11,-0.86%,-0.44%
12-15-2021,127.58,78017.77,0.05%,0.58%
12-16-2021,128.36,77908.04,0.62%,-0.14%
12-17-2021,129.67,77906.59,1.02%,0.00%
12-20-2021,128.58,77157.20,-0.84%,-0.96%
12-21-2021,130.63,78611.68,1.60%,1.89%
12-22-2021,130.83,79157.11,0.15%,0.69%
12-23-2021,130.96,79724.93,0.10%,0.72%
12-24-2021,131.03,79783.97,0.05%,0.07%
12-29-2021,131.63,80216.04,0.46%,0.54%
12-30-2021,132.58,80104.47,0.73%,-0.14%
12-31-2021,132.80,79865.73,0.16%,-0.30%
01-04-2022,132.96,79917.64,0.13%,0.06%
01-05-2022,131.16,79176.81,-1.35%,-0.93%
01-06-2022,131.56,79299.64,0.30%,0.16%
01-07-2022,131.78,79387.78,0.17%,0.11%
01-10-2022,131.78,79342.11,0.00%,-0.06%
01-11-2022,132.87,80104.54,0.83%,0.96%
01-12-2022,133.39,80557.10,0.39%,0.56%
01-13-2022,132.78,80174.89,-0.46%,-0.47%
01-14-2022,133.65,80418.24,0.65%,0.30%
01-17-2022,134.21,81095.72,0.42%,0.84%
01-18-2022,133.09,80105.91,-0.84%,-1.22%
01-19-2022,133.63,79852.64,0.40%,-0.32%
01-20-2022,132.28,79299.56,-1.01%,-0.69%
01-21-2022,129.55,77655.62,-2.06%,-2.07%
01-24-2022,128.59,77469.98,-0.74%,-0.24%
01-25-2022,128.62,77588.29,0.02%,0.15%
01-26-2022,128.66,77607.16,0.03%,0.02%
01-27-2022,128.78,77412.02,0.09%,-0.25%
01-28-2022,128.89,78166.61,0.08%,0.97%
01-31-2022,130.30,79536.98,1.10%,1.75%
02-01-2022,132.60,80372.46,1.76%,1.05%
02-02-2022,132.34,80534.10,-0.19%,0.20%
02-03-2022,131.48,79522.44,-0.66%,-1.26%
02-04-2022,133.03,80192.90,1.18%,0.84%
02-07-2022,132.31,80055.86,-0.54%,-0.17%
02-08-2022,131.95,80589.98,-0.27%,0.67%
02-09-2022,133.48,81447.50,1.16%,1.06%
02-10-2022,132.35,81175.19,-0.85%,-0.33%
02-11-2022,132.33,81239.92,-0.02%,0.08%
02-14-2022,131.90,80552.82,-0.33%,-0.85%
02-15-2022,133.05,81118.84,0.87%,0.70%
02-16-2022,132.32,80670.25,-0.54%,-0.55%
02-17-2022,130.74,79888.33,-1.20%,-0.97%
02-18-2022,129.19,79254.06,-1.19%,-0.79%
02-22-2022,128.34,78893.29,-0.65%,-0.46%
02-23-2022,127.72,78279.14,-0.49%,-0.78%
02-24-2022,128.96,78354.75,0.97%,0.10%
02-25-2022,130.97,79682.43,1.56%,1.69%
02-28-2022,131.39,79759.64,0.32%,0.10%
03-01-2022,132.12,79311.60,0.56%,-0.56%
03-02-2022,133.10,80266.09,0.74%,1.20%
03-03-2022,132.54,80266.69,-0.42%,0.00%
03-04-2022,133.81,80848.42,0.96%,0.72%
03-07-2022,132.85,80479.65,-0.71%,-0.46%
03-08-2022,133.16,80209.83,0.23%,-0.34%
03-09-2022,134.14,81213.57,0.73%,1.25%
03-10-2022,134.83,81561.47,0.51%,0.43%
03-11-2022,134.31,81108.46,-0.38%,-0.56%
03-14-2022,131.12,80083.50,-2.38%,-1.26%
03-15-2022,131.10,80114.89,-0.01%,0.04%
03-16-2022,133.18,81182.14,1.58%,1.33%
03-17-2022,135.76,82349.34,1.94%,1.44%
03-18-2022,135.59,82528.57,-0.12%,0.22%
03-21-2022,136.72,83251.11,0.83%,0.88%
03-22-2022,137.15,83503.28,0.31%,0.30%
03-23-2022,137.78,82970.09,0.46%,-0.64%
03-24-2022,137.22,83001.39,-0.41%,0.04%
03-25-2022,137.04,83285.81,-0.14%,0.34%
03-28-2022,136.63,83179.45,-0.29%,-0.13%
03-29-2022,137.71,83593.43,0.79%,0.50%
03-30-2022,137.81,83617.62,0.08%,0.03%
03-31-2022,137.26,82914.68,-0.40%,-0.84%
04-01-2022,137.92,83152.97,0.48%,0.29%
04-04-2022,138.23,83686.82,0.22%,0.64%
04-05-2022,136.30,83100.34,-1.39%,-0.70%
04-06-2022,135.78,82561.40,-0.39%,-0.65%
04-07-2022,136.27,82779.31,0.37%,0.26%
04-08-2022,136.28,82928.92,0.00%,0.18%
04-11-2022,135.19,82610.97,-0.80%,-0.38%
04-12-2022,135.62,82326.34,0.32%,-0.34%
04-13-2022,136.59,82793.82,0.72%,0.57%
04-14-2022,136.64,82860.90,0.03%,0.08%
04-18-2022,136.84,82947.10,0.15%,0.10%
04-19-2022,137.18,83479.45,0.24%,0.64%
04-20-2022,137.35,83402.57,0.12%,-0.09%
04-21-2022,134.84,82083.33,-1.82%,-1.58%
04-22-2022,132.17,80372.41,-1.98%,-2.08%
04-25-2022,131.37,79710.48,-0.60%,-0.82%
04-26-2022,128.39,78492.79,-2.27%,-1.53%
04-27-2022,129.03,78695.47,0.50%,0.26%
04-28-2022,130.94,80135.19,1.48%,1.83%
04-29-2022,129.26,78800.53,-1.28%,-1.67%
05-02-2022,129.10,78535.79,-0.12%,-0.34%
05-03-2022,131.01,79344.44,1.48%,1.03%
05-04-2022,133.17,80407.29,1.65%,1.34%
05-05-2022,129.70,78552.11,-2.61%,-2.31%
05-06-2022,128.37,78313.44,-1.03%,-0.30%
05-09-2022,123.77,75908.64,-3.58%,-3.07%
05-10-2022,123.18,75492.54,-0.48%,-0.55%
05-11-2022,122.36,75305.88,-0.66%,-0.25%
05-12-2022,121.47,74832.82,-0.73%,-0.63%
05-13-2022,125.03,76355.98,2.93%,2.04%
05-16-2022,126.02,76767.75,0.79%,0.54%
05-17-2022,128.05,77851.42,1.61%,1.41%
05-18-2022,125.57,76371.19,-1.93%,-1.90%
05-19-2022,127.09,76680.88,1.21%,0.41%
05-20-2022,126.74,76742.25,-0.28%,0.08%
05-24-2022,127.22,77098.68,0.38%,0.46%
05-25-2022,127.88,77474.17,0.53%,0.49%
05-26-2022,129.78,78055.36,1.48%,0.75%
05-27-2022,131.58,78878.05,1.38%,1.05%
05-30-2022,133.34,79551.02,1.34%,0.85%
05-31-2022,131.41,78845.48,-1.45%,-0.89%
06-01-2022,131.64,78793.65,0.17%,-0.07%
06-02-2022,134.40,80024.84,2.10%,1.56%
06-03-2022,132.29,79107.56,-1.57%,-1.15%
06-06-2022,132.25,79215.47,-0.03%,0.14%
06-07-2022,133.73,79633.28,1.12%,0.53%
06-08-2022,132.92,79129.77,-0.61%,-0.63%
06-09-2022,131.48,78277.14,-1.08%,-1.08%
06-10-2022,128.90,77176.77,-1.96%,-1.41%
06-13-2022,124.97,75150.70,-3.05%,-2.63%
06-14-2022,123.58,74453.22,-1.11%,-0.93%
06-15-2022,124.18,74698.99,0.48%,0.33%
06-16-2022,118.72,72408.21,-4.40%,-3.07%
06-17-2022,117.43,72130.12,-1.09%,-0.38%
06-20-2022,119.59,73095.83,1.85%,1.34%
06-21-2022,119.90,73385.05,0.25%,0.40%
06-22-2022,117.12,72419.97,-2.32%,-1.32%
06-23-2022,115.40,71334.85,-1.47%,-1.50%
06-24-2022,117.98,72660.85,2.23%,1.86%
06-27-2022,119.33,73425.33,1.15%,1.05%
06-28-2022,119.27,73289.69,-0.05%,-0.18%
06-29-2022,117.00,72810.36,-1.90%,-0.65%
06-30-2022,115.37,71981.65,-1.40%,-1.14%
07-04-2022,117.54,72653.96,1.89%,0.93%
07-05-2022,116.24,71910.57,-1.11%,-1.02%
07-06-2022,115.05,71511.58,-1.03%,-0.55%
07-07-2022,117.44,72830.53,2.08%,1.84%
07-08-2022,117.25,72676.49,-0.16%,-0.21%
07-11-2022,115.47,71889.24,-1.51%,-1.08%
07-12-2022,114.33,71361.42,-0.99%,-0.73%
07-13-2022,114.11,71119.01,-0.19%,-0.34%
07-14-2022,111.84,70028.15,-1.99%,-1.53%
07-15-2022,112.73,70278.05,0.80%,0.36%
07-18-2022,114.62,71046.76,1.68%,1.09%
07-19-2022,115.98,72353.74,1.18%,1.84%
07-20-2022,117.52,72670.87,1.33%,0.44%
07-21-2022,118.15,72832.95,0.54%,0.22%
07-22-2022,117.00,72530.62,-0.97%,-0.42%
07-25-2022,117.93,73042.81,0.80%,0.71%
07-26-2022,115.98,72539.29,-1.66%,-0.69%
07-27-2022,117.87,73617.01,1.63%,1.49%
07-28-2022,120.38,74400.78,2.14%,1.06%
07-29-2022,123.75,75333.21,2.80%,1.25%
08-02-2022,123.19,74615.83,-0.45%,-0.95%
08-03-2022,122.82,74772.58,-0.30%,0.21%
08-04-2022,123.75,74907.96,0.76%,0.18%
